Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","1990","1990","%","70.82","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","1991","1991","%","70.42","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","1992","1992","%","70.16","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","1993","1993","%","70.61","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","1994","1994","%","70.31","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","1995","1995","%","69.56","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","1996","1996","%","69.4","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","1997","1997","%","68.66","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","1998","1998","%","68.76","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","1999","1999","%","68.27","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2000","2000","%","67.94","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2001","2001","%","67.81","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2002","2002","%","66.93","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2003","2003","%","66.45","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2004","2004","%","66.02","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2005","2005","%","66.15","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2006","2006","%","66.02","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2007","2007","%","65.77","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2008","2008","%","65.28","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2009","2009","%","63.53","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2010","2010","%","63.31","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2011","2011","%","63.09","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2012","2012","%","62.33","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2013","2013","%","64.69","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2014","2014","%","64.15","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2015","2015","%","63.85","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2016","2016","%","63.73","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2017","2017","%","63.43","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2018","2018","%","62.94","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2019","2019","%","63.12","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2020","2020","%","63.78","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2021","2021","%","62.43","E","Estimated value"
"EM","Emissions indicators","356","India","7265","Emissions Share (CH4)","1711","IPCC Agriculture","2022","2022","%","62","E","Estimated value"
